questionType,stem,answer,optionA,optionB,optionC,optionD,analysis,knowledgeCode,sourceType,usageType,difficultyExpected,standardTimeSeconds
SINGLE,"某单位规定：如果小王参加培训，那么小李也参加。现知小李没有参加培训。由此可以推出？",A,"小王没有参加培训","小王一定参加了培训","小李一定请假","无法判断任何情况","根据充分条件的逆否命题，小李未参加可推出小王未参加，故选A。",JUDGEMENT,MANUAL,TRAINING,52,60
SINGLE,"所有完成年度考核的人都提交了工作总结。小赵已完成年度考核。可以推出？",B,"小赵没有提交工作总结","小赵提交了工作总结","提交总结的人都完成考核","无法推出任何结论","小赵属于完成年度考核的人，依据全称命题可推出其提交了工作总结，故选B。",JUDGEMENT,MANUAL,TRAINING,50,60
SINGLE,"“绿色通勤”是指以步行、骑行、公共交通等低碳方式完成日常出行。下列属于绿色通勤的是？",D,"驾驶私家车独自上下班","乘坐出租车短途出行","使用高油耗越野车出行","骑自行车到地铁站后换乘地铁","骑行和公共交通均属于低碳方式，D符合定义，故选D。",JUDGEMENT,MANUAL,TRAINING,50,60
SINGLE,"某项目只有在预算获批且人员到位时才启动。现项目已经启动。可以推出？",C,"预算未获批","人员未到位","预算获批且人员到位","项目一定提前启动","必要条件命题中，项目启动意味着预算获批和人员到位两个必要条件均已满足，故选C。",JUDGEMENT,MANUAL,TRAINING,55,60
SINGLE,"研究发现，规律运动的人通常睡眠质量更好。下列哪项最能削弱“运动导致睡眠质量提高”的结论？",B,"规律运动需要一定时间安排","睡眠质量好的人更有精力坚持规律运动","不同运动方式效果不同","运动场地会影响运动体验","若因果方向可能相反，即睡眠好使人更能运动，则原结论被明显削弱，故选B。",JUDGEMENT,MANUAL,TRAINING,58,75
SINGLE,"一个调查显示，使用图书馆自习室的学生平均成绩较高。据此得出“使用自习室会提高成绩”。下列哪项是该推理最需要补充的前提？",A,"成绩较高不是因为这些学生原本学习更主动","图书馆座位数量足够","学生喜欢安静环境","自习室每天开放时间很长","要推出自习室导致成绩提高，需要排除原本主动学习者更常使用自习室的替代解释，故选A。",JUDGEMENT,MANUAL,TRAINING,58,75
SINGLE,"“政策协同”是指不同部门在目标、措施和执行上相互配合，以避免相互抵消。下列属于政策协同的是？",C,"两个部门分别发布互相矛盾的通知","部门各自完成任务但不沟通","财政补贴与就业培训同步面向同一困难群体","一个部门取消另一个部门的项目","财政补贴和就业培训围绕同一群体配合实施，符合目标和措施相互配合的定义，故选C。",JUDGEMENT,MANUAL,TRAINING,52,60
SINGLE,"有甲、乙、丙三人，只有一人说真话。甲说“乙说假话”，乙说“丙说假话”，丙说“甲和乙都说假话”。谁说真话？",D,"甲","乙","无人","丙","若丙说真话，则甲乙均为假话，条件恰好满足；其余假设都会导致真话人数不为一，故选D。",JUDGEMENT,MANUAL,TRAINING,60,75
SINGLE,"某会议要求：提交材料的人必须参加说明会；参加说明会的人不一定提交材料。下列判断正确的是？",A,"提交材料是参加说明会的充分条件","参加说明会是提交材料的充分条件","两者互为充分必要条件","两者没有关系","提交材料必然参加说明会，所以提交材料是参加说明会的充分条件，故选A。",JUDGEMENT,MANUAL,TRAINING,50,60
SINGLE,"某地区推广节水器具后，人均用水量下降。若要说明下降主要由节水器具造成，最需要排除哪项因素？",C,"器具价格有所下降","居民对节水宣传更关注","同期该地区实行了严格限水措施","节水器具颜色不同","同期严格限水也会直接降低用水量，是重要混杂因素，必须排除，故选C。",JUDGEMENT,MANUAL,TRAINING,56,75
SINGLE,"一项工程甲单独完成需要12天，乙单独完成需要18天，两人合作完成需要多少天？",B,"6天","7.2天","9天","15天","合作效率为1/12加1/18等于5/36，每天完成5/36，所需36/5即7.2天，故选B。",QUANTITY,MANUAL,TRAINING,55,90
SINGLE,"某商品成本为200元，按成本加价25%后出售，售价是多少元？",C,"220元","230元","250元","275元","售价等于200乘以1加25%，计算得到250元，故选C。",QUANTITY,MANUAL,TRAINING,48,60
SINGLE,"一列火车长180米，以每秒20米的速度通过长220米的隧道，需要多少秒？",A,"20秒","18秒","11秒","9秒","完全通过隧道需行驶车长加隧道长共400米，400除以20等于20秒，故选A。",QUANTITY,MANUAL,TRAINING,52,75
SINGLE,"从甲地到乙地全程120千米，去程速度60千米每小时，返程速度40千米每小时，往返平均速度是多少？",D,"48千米每小时","50千米每小时","52千米每小时","48千米每小时","总路程240千米，总时间2加3等于5小时，平均速度为240除以5即48千米每小时，故选D。",QUANTITY,MANUAL,TRAINING,55,90
SINGLE,"某班男生人数与女生人数之比为3比2，全班共有40人，女生有多少人？",B,"16人","16人","20人","24人","总份数为5份，每份8人，女生2份为16人；B为正确选项，故选B。",QUANTITY,MANUAL,TRAINING,45,60
SINGLE,"一个袋中有3个红球和2个蓝球，随机取出1个球，取到红球的概率是多少？",C,"2/5","1/2","3/5","3/2","共有5个球，其中红球3个，概率为3除以5，即3/5，故选C。",QUANTITY,MANUAL,TRAINING,46,60
SINGLE,"某数的30%比该数的20%多15，这个数是多少？",A,"150","75","50","30","该数的10%等于15，所以原数等于150，故选A。",QUANTITY,MANUAL,TRAINING,50,60
SINGLE,"甲、乙两人共同完成一项任务，甲完成总量的60%，乙完成剩余部分。若总量为250件，乙完成多少件？",D,"100件","120件","140件","100件","乙完成剩余的40%，250乘以40%等于100件，D为正确选项，故选D。",QUANTITY,MANUAL,TRAINING,47,60
SINGLE,"一个长方形长为12厘米、宽为8厘米，面积是多少平方厘米？",B,"80","96","100","120","长方形面积等于长乘宽，12乘8等于96平方厘米，故选B。",QUANTITY,MANUAL,TRAINING,42,60
SINGLE,"某部门第一季度完成全年目标的18%，第二季度完成全年目标的22%，上半年共完成全年目标的多少？",C,"30%","35%","40%","45%","上半年完成比例为18%加22%，等于40%，故选C。",QUANTITY,MANUAL,TRAINING,45,60
SINGLE,"某市2024年地区生产总值为6600亿元，同比增长10%，2023年地区生产总值约为多少亿元？",A,"6000亿元","5940亿元","6100亿元","6300亿元","基期量等于现期量除以1加增长率，6600除以1.1等于6000亿元，故选A。",DATA_ANALYSIS,MANUAL,TRAINING,55,90
SINGLE,"某企业今年营业收入为480万元，比上年增加20%，上年营业收入是多少万元？",D,"360万元","380万元","420万元","400万元","上年收入等于480除以1.2，计算得400万元，故选D。",DATA_ANALYSIS,MANUAL,TRAINING,52,90
SINGLE,"某地区常住人口500万人，其中城镇人口300万人，城镇化率是多少？",B,"50%","60%","65%","70%","城镇化率等于城镇人口除以常住人口，300除以500等于60%，故选B。",DATA_ANALYSIS,MANUAL,TRAINING,48,75
SINGLE,"某单位甲类项目投资200万元、乙类项目投资300万元，甲类项目投资占总投资的比重是多少？",C,"30%","35%","40%","60%","总投资为500万元，甲类投资200除以500等于40%，故选C。",DATA_ANALYSIS,MANUAL,TRAINING,48,75
SINGLE,"2024年某县粮食产量为132万吨，比2023年增长10%，增量是多少万吨？",A,"12万吨","13.2万吨","14万吨","20万吨","2023年产量为132除以1.1等于120万吨，增长量为132减120等于12万吨，故选A。",DATA_ANALYSIS,MANUAL,TRAINING,56,90
SINGLE,"某市一般公共预算收入从400亿元增加到460亿元，增长率是多少？",D,"10%","12%","14%","15%","增长量为60亿元，增长率为60除以400等于15%，故选D。",DATA_ANALYSIS,MANUAL,TRAINING,50,75
SINGLE,"某企业甲产品销量1200件，乙产品销量800件，甲产品销量比乙产品多多少？",B,"33.3%","50%","60%","80%","甲比乙多400件，以乙为基数，400除以800等于50%，故选B。",DATA_ANALYSIS,MANUAL,TRAINING,50,75
SINGLE,"某地区第一产业增加值150亿元，占地区生产总值的10%，地区生产总值是多少亿元？",C,"1200亿元","1350亿元","1500亿元","1650亿元","地区生产总值等于150除以10%，即1500亿元，故选C。",DATA_ANALYSIS,MANUAL,TRAINING,52,90
SINGLE,"某部门本月受理事项1000件，已办结920件，办结率是多少？",A,"92%","90%","88%","80%","办结率等于已办结数量除以受理数量，920除以1000等于92%，故选A。",DATA_ANALYSIS,MANUAL,TRAINING,45,60
SINGLE,"某市线上办理事项由去年4000件增至今年5200件，今年比去年增加多少件？",D,"800件","1000件","1100件","1200件","增加量等于5200减4000，计算为1200件，故选D。",DATA_ANALYSIS,MANUAL,TRAINING,45,60
SINGLE,"我国的根本政治制度是？",B,"中国共产党领导的多党合作和政治协商制度","人民代表大会制度","民族区域自治制度","基层群众自治制度","人民代表大会制度是我国的根本政治制度，其他制度均为基本政治制度或基层制度，故选B。",COMMON_SENSE,MANUAL,TRAINING,48,60
SINGLE,"我国宪法规定，国家的一切权力属于谁？",A,"人民","全国人民代表大会","国务院","各级人民政府","宪法明确规定中华人民共和国的一切权力属于人民，故选A。",COMMON_SENSE,MANUAL,TRAINING,48,60
SINGLE,"下列哪项属于我国公民的政治权利？",C,"受教育权","劳动权","选举权和被选举权","休息权","选举权和被选举权属于公民政治权利，其他属于社会经济文化权利，故选C。",COMMON_SENSE,MANUAL,TRAINING,50,60
SINGLE,"行政机关作出行政处罚决定前，应当告知当事人什么？",D,"只告知处罚结果","只告知办案人员姓名","无需告知任何内容","作出处罚决定的事实、理由和依据等","行政处罚程序要求事先告知事实、理由、依据以及依法享有的权利，故选D。",COMMON_SENSE,MANUAL,TRAINING,55,75
SINGLE,"我国实行民族区域自治制度的前提和基础是什么？",A,"国家统一和领土完整","各民族分别建国","取消地方自治","完全同化各民族","民族区域自治以维护国家统一和领土完整为前提和基础，故选A。",COMMON_SENSE,MANUAL,TRAINING,52,60
SINGLE,"下列关于国家机关职权的说法正确的是？",B,"国务院是最高国家权力机关","全国人民代表大会是最高国家权力机关","人民法院行使行政管理权","地方政府制定宪法","全国人民代表大会在国家机构体系中行使最高国家权力，故选B。",COMMON_SENSE,MANUAL,TRAINING,52,60
SINGLE,"我国公民有维护国家统一和全国各民族团结的义务。这一义务体现了什么？",C,"只享受权利不承担义务","地方利益高于国家利益","公民权利与义务相统一","行政机关可以代替公民履责","宪法规定公民既享有权利也履行义务，维护统一和团结体现权利义务相统一，故选C。",COMMON_SENSE,MANUAL,TRAINING,50,60
SINGLE,"下列关于依法行政的表述正确的是？",D,"行政机关可以随意设定收费项目","行政决定只需考虑效率","行政权力不受监督","行政机关应在法定权限和程序内行使职权","依法行政要求行政机关在法定权限和程序内履职，故选D。",COMMON_SENSE,MANUAL,TRAINING,52,60
SINGLE,"我国的国家性质是？",A,"人民民主专政的社会主义国家","资本主义联邦制国家","君主立宪制国家","神权国家","宪法规定中华人民共和国是工人阶级领导的、以工农联盟为基础的人民民主专政的社会主义国家，故选A。",COMMON_SENSE,MANUAL,TRAINING,50,60
SINGLE,"下列哪项是全面推进依法治国的根本遵循？",B,"部门内部规定","中华人民共和国宪法","临时工作方案","个人经验判断","宪法是国家根本法，是全面推进依法治国的根本遵循，故选B。",COMMON_SENSE,MANUAL,TRAINING,52,60
